num,tempo_funcao,tempo_usuario,tempo_sistema
1,1e-07,0.004137,0
2,3.53e-05,0.004234,0
3,7.04e-05,0.0044,0
4,0.0001409,0.004673,0
5,0.0002541,0.005099,0
6,0.0004794,0.005926,0
7,0.0007133,0.00693,0
8,0.0012155,0.008479,0
9,0.0020786,0.010931,0
10,0.0033431,0.014707,0
11,0.0055665,0.020752,0
12,0.0084428,0.029757,0
13,0.0145525,0.044815,0
14,0.0229769,0.068377,0
15,0.0359539,0.104971,0
16,0.0580723,0.164267,0
17,0.0687069,0.233713,0
18,0.0831301,0.317341,0
19,0.127804,0.445806,0
20,0.204898,0.651374,0
